Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Gives_Dividends
MMM,3M Company,Industrials,5.411154859811406,3.2311995745570328,2.3328617,7.92,175.49,259.77,25.65573095683408,22.92580957587075,1.6845956062943,2.5128460184772416,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,Yes
AOS,A.O. Smith Corp,Industrials,4.114800570789483,3.358985532852846,1.1479592,1.7,48.925,68.39,23.101275600166687,20.214105494163377,1.5207121795029899,1.9947003132247452,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS,Yes
ABT,Abbott Laboratories,Health Care,4.047776926405766,3.157425862551978,1.9089824,0.26,42.28,64.6,25.349424635955817,22.47142166886643,1.55613848078237,1.4327007339340463,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,Yes
ABBV,AbbVie Inc.,Health Care,4.695741884172478,3.0160249768217535,2.4995599,3.29,60.05,125.86,25.92389510751711,23.056380135072274,1.9867190234895005,3.301008654406723,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV,Yes
ACN,Accenture plc,Information Technology,5.020651629371744,3.27601201623901,1.7144699,5.44,114.82,162.6,25.316017790411003,22.4537220793348,1.2820768031481173,2.4527277514237653,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN,Yes
ATVI,Activision Blizzard,Information Technology,4.2021520815229785,3.490428515390098,0.43190324,1.28,38.93,74.945,24.68443452705337,21.71799799549695,2.4505843199424278,1.8180767775454285,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI,Yes
AYI,Acuity Brands Inc,Industrials,4.986410905205391,2.9559514035421466,0.35118526,7.43,142.0,225.36,22.55462698921745,20.19189731365035,1.0279563564905883,1.5151272329628591,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI,Yes
ADBE,Adobe Systems Inc,Information Technology,5.2266065189940365,3.9761239308346696,0.0,3.39,114.451,204.45,25.27239689824609,21.65465796694971,2.645665305913255,2.4898941912990393,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE,No
AAP,Advance Auto Parts,Consumer Discretionary,4.70619130004682,3.0223742045004123,0.21832074,6.19,78.81,169.55,22.818040703550814,20.56537266388624,0.7561717906873197,1.2556160374777743,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP,Yes
AMD,Advanced Micro Devices Inc,Information Technology,2.503073953743449,5.236441962829949,0.0,0.03,9.7,15.65,23.138435034187196,19.641510668294575,1.1343640110552422,3.112181086197238,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD,No
AES,AES Corp,Utilities,2.403334996094189,2.3942522815198695,4.961832,-1.72,10.0,12.05,22.657804606670126,21.822211403737864,0.5065246859786586,1.1631508098056809,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,Yes
AET,Aetna Inc,Health Care,5.187385805840755,2.950211758252182,1.101989,5.75,119.51,194.4,24.8041369781406,22.14372004995461,0.6893171553683346,1.5665304114228238,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET,Yes
AMG,Affiliated Managers Group Inc,Financials,5.193567775348966,2.5832425505088623,0.6387395,12.07,148.81,216.995,23.069118670895133,20.955488052986595,1.721200192998076,1.358409157630355,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG,Yes
AFL,AFLAC Inc,Financials,4.433788569232471,2.5832425505088623,2.4299066,11.01,68.8,91.73,24.23250856690555,0.0,0.9333186898036738,0.9282193027394289,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL,Yes
A,Agilent Technologies Inc,Health Care,4.190412030968334,3.34814816057234,0.8756979,2.1,49.23,75.0,23.81360835991059,20.81310654186028,2.0140443853538876,1.715598108262491,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A,Yes
APD,Air Products & Chemicals Inc,Materials,5.035653057071544,3.2276373305367736,2.7811136,13.66,133.6301,175.17,24.26822835861554,21.656413686280302,1.6324448709612618,1.4701758451005926,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,Yes
AKAM,Akamai Technologies Inc,Information Technology,4.150882413182359,3.5130368634176907,0.0,1.79,44.65,69.56,23.11266182631019,20.486931925310323,1.9249276042158439,1.4469189829363254,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM,No
ALK,Alaska Air Group Inc,Industrials,4.175002465239555,2.3664984187376983,1.9928383,8.28,59.25,101.43,22.790530254351633,21.233090960979418,0.6831519947008065,1.1662709371419244,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK,Yes
ALB,Albemarle Corp,Materials,4.665135767155525,3.2969473602883563,1.2004126,5.66,90.35,144.99,23.189851618785422,20.34643191797004,1.851068795049283,1.3812818192963463,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB,Yes
ARE,Alexandria Real Estate Equities Inc,Real Estate,4.749962930889632,2.997231149677727,3.0262272,1.57,106.89,134.37,23.211780505831697,0.0,2.4416646286696637,1.1216775615991057,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE,Yes
ALXN,Alexion Pharmaceuticals,Health Care,4.695650539116466,3.1432898379116057,0.0,1.77,96.18,149.34,23.98797277787813,20.792791900527856,2.3721635796416285,1.3402504226184837,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN,No
ALGN,Align Technology,Health Care,5.401370221604119,4.053348941518581,0.0,2.84,92.61,287.32,23.656486407525172,19.756539340269512,2.6489241350566557,2.8587664184808337,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN,No
ALLE,Allegion,Industrials,4.360802998222255,3.094219220268645,0.8004002,2.37,66.72,89.81,22.751362700681742,20.0917780386536,1.6611252091925217,3.067122269640664,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE,Yes
AGN,"Allergan, Plc",Health Care,5.107156861086878,2.4553061800117097,1.643289,38.35,160.07,256.8,24.760490229873703,0.0,1.7613200209983029,0.6043159668533294,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN,Yes
ADS,Alliance Data Systems,Information Technology,5.48728346606066,2.640484881606444,0.9240122,14.13,209.0,278.33,23.335730449742858,21.485565876661266,1.0036529739700906,2.2278615467981093,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS,Yes
LNT,Alliant Energy Corp,Utilities,3.641263600172273,3.0378334495726262,3.5733333,1.65,36.84,45.55,22.883153485807874,20.87890112933373,1.489109963731821,1.1410330045520618,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT,Yes
ALL,Allstate Corp,Financials,4.511518629906636,2.65745841498615,1.5278208,4.68,77.73,105.36,24.271717858343106,0.0,0.7923387271960035,0.9820784724121582,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL,Yes
GOOGL,Alphabet Inc Class A,Information Technology,6.916427565762021,3.4806245152934774,0.0,22.27,824.3,1198.0,27.321535008647693,24.255988433566227,2.0543406332480605,1.7404661748405046,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL,No
GOOG,Alphabet Inc Class C,Information Technology,6.910272109106411,3.720620339897999,0.0,22.27,803.1903,1186.89,27.31430227146737,24.211068957813314,2.050611547543134,1.7351891177396608,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG,No
MO,Altria Group Inc,Consumer Staples,4.1751562049585145,2.9902170928658807,3.9526875,5.31,60.01,77.79,25.567335604988035,23.100308840951293,1.7826652418137405,2.4265710727750367,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO,Yes
AMZN,Amazon.com Inc,Consumer Discretionary,7.208970365716502,5.694270714283606,0.0,6.16,812.5,1498.0,27.253958862695626,23.504070714019523,1.5947410405569427,3.2300135692786567,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN,No
AEE,Ameren Corp,Utilities,3.981362483506759,3.062455905596899,3.4404964,2.68,51.81,64.89,23.280938390806792,21.555305016808138,1.3064713584761032,1.0260415958332743,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE,Yes
AAL,American Airlines Group,Industrials,3.903990833730882,2.390595970316759,0.7782101,3.91,39.21,59.08,23.925803004044976,22.474376907870237,0.45756765329727256,1.9501867058225735,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL,Yes
AEP,American Electric Power,Utilities,4.164803025870662,2.9079933592459843,3.8479443,1.24,62.69,78.07,24.17964297398321,22.216349692472498,1.3214873772827667,1.0331844833456545,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP,Yes
AXP,American Express Co,Financials,4.492449315923973,2.772588722239781,1.4955667,2.9,75.51,102.385,25.110416695344618,0.0,1.1858826598936145,1.55814461804655,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP,Yes
AIG,"American International Group, Inc.",Financials,4.082271980987832,3.1871787381249463,2.1167521,-0.76,57.85,67.3,24.71889577216296,0.0,0.9036729008036322,0.5596157879354227,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG,Yes
AMT,American Tower Corp A,Real Estate,4.90208450975345,3.0763901765714454,2.0,1.97,103.36,155.28,24.804422024294837,22.056260418612208,2.561415196588698,2.3243465847755584,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT,Yes
AWK,American Water Works Company Inc,Utilities,4.344584339198011,3.3043193066856684,2.129297,2.63,71.89,92.37,23.355596750936744,21.26034383244092,1.8800500693294657,1.2669476034873244,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK,Yes
AMP,Ameriprise Financial,Financials,5.033700567027251,2.596000697293587,2.0735743,9.44,118.84,183.9,23.879079426473393,0.0,1.0815762288923951,1.5539252025038417,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP,Yes
ABC,AmerisourceBergen Corp,Health Care,4.527749039019507,2.805781689595545,1.6132456,1.64,71.9,106.27,23.74795984628081,20.71511672393597,0.16039103112701963,2.373043556642607,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC,Yes
AME,AMETEK Inc,Industrials,4.291144138196708,3.3537563070620187,0.75512403,2.94,51.31,78.51,23.564660442091867,20.748702563834566,1.6125067985821473,1.7119945007591924,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME,Yes
AMGN,Amgen Inc,Health Care,5.159744716684097,2.6919208191723265,2.9751508,2.57,152.16,201.23,25.57633727741138,23.2035786178079,1.8843264960869066,1.5912739418064292,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN,Yes
APH,Amphenol Corp,Information Technology,4.447814375211885,3.292126286607793,0.8608971,2.05,67.26,93.62,24.017447088584728,21.237106910271052,1.580369489936753,2.033397603178429,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH,Yes
APC,Anadarko Petroleum Corp,Energy,4.046553898385752,0.0,1.7029973,-5.9,39.96,70.0,24.193027741638527,21.859494989506857,1.6030618685997136,1.355835153635182,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC,Yes
ADI,"Analog Devices, Inc.",Information Technology,4.427000000316613,2.9269179575536315,2.108963,2.11,74.65,98.38,24.183096175427327,21.232119919100832,2.1976589274369998,1.4182774069729414,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI,Yes
ANDV,Andeavor,Energy,4.583946549536464,2.984671326194566,2.3454583,6.13,75.11,121.71,23.47670039226413,21.658574575048792,0.5079112811921104,0.9932517730102833,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANDV,Yes
ANSS,ANSYS,Information Technology,5.009568058135833,3.773450355564206,0.0,2.99,94.52,164.9,23.30013761824916,19.94350356668284,2.8799509830682477,1.9154509415706047,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS,No
ANTM,Anthem Inc.,Health Care,5.444882203629872,3.007166651179654,1.2581781,14.36,156.81,267.95,24.837772089902195,0.0,0.5126152813730465,1.1878434223960523,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM,Yes
AON,Aon plc,Financials,4.920345822748795,3.0819099697950434,1.0245464,4.66,113.2201,152.78,24.282125537493403,21.34276647787627,1.5034701457700306,2.0515563381903004,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON,Yes
APA,Apache Corporation,Energy,3.6566144935266607,0.0,2.528445,-3.72,38.14,57.9,23.435725035983523,21.906525599981084,1.5371609399000938,1.169381359556317,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA,Yes
AIV,Apartment Investment & Management,Real Estate,3.6689318163042404,2.8094026953624978,3.876562,1.95,38.85,46.855,22.540836665579715,20.589587006024825,1.972360240764374,1.7387102481382397,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV,Yes
AAPL,Apple Inc.,Information Technology,5.050817083729088,2.882563575448353,1.5795412,9.2,131.12,180.1,27.419692534685637,25.097587867247338,1.494836901263713,1.8961194845522977,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL,Yes
AMAT,Applied Materials Inc,Information Technology,3.844814255734696,2.71336936257981,0.8215239,3.17,34.58,60.89,24.660888000104297,22.190218101314382,1.7408196912935674,1.8625285401162623,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT,Yes
APTV,Aptiv Plc,Consumer Discretionary,4.502805179310063,4.259011183777335,0.9392678,5.05,82.97,96.91,23.938395867116984,21.58615579251539,0.9173221198107117,2.1471001901536506,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV,Yes
ADM,Archer-Daniels-Midland Co,Consumer Staples,3.7459684210980635,2.915064370486536,3.1761081,2.17,38.59,47.44,23.88429094239115,21.797243844997805,0.42185613820518075,0.8285518175661483,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM,Yes
AJG,Arthur J. Gallagher & Co.,Financials,4.180522258463153,3.093312601892855,2.4807138,2.54,53.63,70.55,23.205543057062155,20.60448230208257,1.078416894249021,1.366091653802371,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG,Yes
AIZ,Assurant Inc,Financials,4.456206032848133,3.5342703358865175,2.5313594,9.08,85.91,106.985,22.260991525590068,0.0,0.6842005788021484,0.7514160886839212,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ,Yes
T,AT&T Inc,Telecommunication Services,3.59922823216129,2.5756610130564646,5.4156513,4.76,32.55,42.7,26.146951928260652,24.628324648593065,0.8789274158902753,1.0296194171811581,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T,Yes
ADSK,Autodesk Inc,Information Technology,4.66164503291607,0.0,0.0,-2.61,81.75,131.1,23.91572764315961,0.0,2.8625905192962944,5.416678013132882,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK,No
ADP,Automatic Data Processing,Information Technology,4.693638833975699,3.4124669739203863,2.2190912,3.85,95.5,125.24,24.642020180995228,21.741174088560907,1.6190573766757594,2.6290069937617573,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP,Yes
AZO,AutoZone Inc,Consumer Discretionary,6.578653811379651,2.851284369188118,0.0,44.09,491.13,797.89,23.71509156066128,21.57653327290923,1.047684857169131,4.921658350281541,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO,No
AVB,"AvalonBay Communities, Inc.",Real Estate,5.049471317881454,2.9428587839469227,3.7149355,6.36,156.01,199.52,23.807766367193516,21.009631293790125,2.420476211698135,1.1378330018213911,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB,Yes
AVY,Avery Dennison Corp,Materials,4.71644318839752,3.1402654242862895,1.5682175,3.11,78.471,123.67,23.03627781257132,20.538380998952373,0.924516765099059,2.285438934159075,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY,Yes
BHGE,"Baker Hughes, a GE Company",Energy,3.349904087274605,5.7254134947824955,2.4991322,-0.31,28.03,57.73,24.21964347642794,19.467999741741696,1.0780709185686466,1.1786549963416462,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHGE,Yes
BLL,Ball Corp,Materials,3.6747805297344347,3.070839746040796,1.0170354,0.85,35.6,43.24,23.345590272052377,20.998622260466856,0.9437657723583447,1.5303947050936475,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL,Yes
BAC,Bank of America Corp,Financials,3.4255647381104497,2.853015971352396,1.536,1.55,22.07,32.67,26.496195574188423,0.0,1.435367199618884,0.8064758658669484,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC,Yes
BAX,Baxter International Inc.,Health Care,4.151984341668515,3.2627013044082305,0.97635394,1.29,48.15,72.58,24.298801117145395,21.328674103744202,1.4905285577184786,1.5623463049002497,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX,Yes
BBT,BB&T Corporation,Financials,3.952588967174808,2.848391685655282,2.4526198,2.74,41.17,55.99,24.463018116436942,0.0,1.494074354978353,0.9360933591703349,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBT,Yes
BDX,Becton Dickinson,Health Care,5.358659595554198,3.147594622863237,1.3518385,4.65,175.66,248.3888,24.653328746575067,21.153098302153488,1.9008073830692902,1.6054298910365616,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX,Yes
BRK.B,Berkshire Hathaway,Financials,5.259680482933119,3.447762850809476,0.0,9.76,160.93,217.62,26.289322242693643,0.0,0.8890523936722786,0.9477893989335261,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B,No
BBY,Best Buy Co. Inc.,Consumer Discretionary,4.245490733029061,3.006672213592325,1.9085041,3.81,41.67,78.59,23.75971703620525,21.66131806099347,0.5693710389413869,1.7561322915849038,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY,Yes
BIIB,Biogen Inc.,Health Care,5.745532038850664,2.72785282839839,0.0,11.94,244.28,370.57,24.95965562313207,22.59682032396316,1.9076798823907901,1.873339456220478,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB,No
BLK,BlackRock,Financials,6.235155546309851,3.1565747986708215,2.1643558,30.3,368.0,594.52,25.17653999781699,22.460921047357196,2.0688632381931207,1.3737155789130306,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK,Yes
HRB,Block H&R,Financials,3.2653776585196206,2.587011872725154,3.7296038,1.92,19.85,31.8,22.406220694755167,20.612059379240534,1.104874506654362,5.329864482046166,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRB,Yes
BA,Boeing Company,Industrials,5.801090657123199,3.342508385313476,1.9648397,13.47,163.69,361.45,26.049283022751712,23.24707263577212,1.1493245726351233,5.2141745984356085,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA,Yes
BWA,BorgWarner,Consumer Discretionary,3.9691591967989552,2.7180005319553784,1.2363636,0.55,37.54,58.22,23.173936176102167,20.58158705976668,0.9490047840846901,1.358409157630355,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA,Yes
BXP,Boston Properties,Real Estate,4.728183961883236,2.94706710157271,2.7744062,2.93,111.87,140.13,23.602457467704294,21.159483856717323,2.059169826879314,1.423108334242607,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP,Yes
BSX,Boston Scientific,Health Care,3.265759410767051,3.044522437723423,0.0,0.07,23.29,29.93,24.31073546137775,21.269072430187023,1.620513352688503,1.7544036826842861,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX,No
BHF,Brighthouse Financial Inc,Financials,4.033178126984613,3.1625170911988163,0.0,-24.62,52.751,75.0,22.67864717167299,0.0,0.8832863500350246,0.412109650826833,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHF,No
BMY,Bristol-Myers Squibb,Health Care,4.1540275643832745,3.0832851705618523,2.5546863,2.65,51.12,66.1,25.35319206727889,22.366138525660173,2.015333727774587,2.0476928433652555,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY,Yes
AVGO,Broadcom,Information Technology,5.440554503968522,2.8296776892239084,2.9488583,4.01,202.61,285.68,25.253625995994906,22.671459092158823,2.07466678565336,1.6863989535702288,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO,Yes
BF.B,Brown-Forman Corp.,Consumer Staples,4.1640260854229085,3.6386382376771897,1.1216964,1.7,45.415,69.9028,22.427656320341324,20.853416522289418,1.044205309686719,2.5922651681085,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B,Yes
CHRW,C. H. Robinson Worldwide,Industrials,4.516011049668273,3.295836866004329,1.987685,3.57,63.41,100.18,23.283008114142348,20.581812866739284,0.6167127805240454,2.333114298028869,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW,Yes
CA,"CA, Inc.",Information Technology,3.51631018876266,2.729159164312445,3.0,1.85,30.45,36.56,23.374775522940514,21.201361636709446,1.4757333619614799,1.235471471385307,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CA,Yes
COG,Cabot Oil & Gas,Energy,3.178470410233162,4.1198498526304625,1.0269576,-0.92,21.4,29.57,23.103628455810338,19.81927663256633,2.265581735689277,1.6505798557652755,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COG,Yes
CDNS,Cadence Design Systems,Information Technology,3.6328380632303117,3.5579161895951237,0.0,0.74,29.01,46.0,23.111168182803503,19.937141155968842,1.9097998051132288,2.4832385926873033,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS,No
CPB,Campbell Soup,Consumer Staples,3.8249388985210326,2.7625383863862796,3.125,2.89,43.5,64.23,23.323522444634012,21.243843752749257,1.2207769111377826,2.187174241482718,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB,Yes
COF,Capital One Financial,Financials,4.530446639792155,2.553343811341229,1.6306564,3.45,76.05,106.5,24.586881065106933,0.0,0.9528696894310694,0.6626879730752367,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF,Yes
CAH,Cardinal Health Inc.,Health Care,4.214051671586849,2.587011872725154,2.8394227,4.04,54.66,84.88,23.743362921857624,21.371938527927266,0.19170370646077892,1.3937663759585914,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH,Yes
KMX,Carmax Inc,Consumer Discretionary,4.179604406172924,3.017493765335504,0.0,3.97,54.29,77.64,23.193689251447967,21.01565780117408,0.5255482520417734,1.5151272329628591,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX,No
CCL,Carnival Corp.,Consumer Discretionary,4.215972050343799,2.916689066213538,2.6041667,3.58,54.75,72.7,24.618753769443696,22.273166036876585,1.338882550334836,1.0986122886681098,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL,Yes
CAT,Caterpillar Inc.,Industrials,4.990364557253896,3.100992784211484,2.0215108,1.26,90.34,173.24,25.243118291430058,22.81956449581558,1.1141059069431027,1.9095425048844386,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT,Yes
CBOE,CBOE Holdings,Financials,4.719837260966218,3.585184217775171,0.9426963,2.27,76.75,138.54,23.28808407873574,20.006657587185124,2.224519978593275,1.8164520818184267,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE,Yes
CBG,CBRE Group,Real Estate,3.759337917762498,2.822568654544802,0.0,1.69,30.43,46.6,23.39330894824185,21.225834062645518,0.9010682962676687,1.556037135706985,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBG,No
CBS,CBS Corp.,Consumer Discretionary,3.966511190712216,2.5687881337687024,1.3473054,2.81,52.75,70.095,23.7403385614551,21.76742194017045,1.1331752804329458,2.0681277817795625,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBS,Yes
CELG,Celgene Corp.,Health Care,4.522005944727322,2.658159431488745,0.0,3.58,92.85,147.17,25.039701118516266,22.378250564527576,1.9213350688434556,2.138889000323256,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CELG,No
CNC,Centene Corporation,Health Care,4.618678536012884,3.0017143452315387,0.0,3.23,65.03,112.42,23.614331493317113,21.447427071520256,0.40737415139158084,1.275362800412609,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC,No
CNP,CenterPoint Energy,Utilities,3.2902658209548736,3.0315819264476884,4.2109256,1.0,25.51,30.45,23.153544101846837,21.57213389293103,0.9655614281885679,1.43746264769429,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP,Yes
CTL,CenturyLink Inc,Telecommunication Services,2.8449093838194073,2.2353763433005955,12.661196,1.16,13.161,27.61,23.626729128971085,22.441916834533135,0.9080966115800537,0.8712933659434193,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTL,Yes
CERN,Cerner,Health Care,4.130676491469491,3.335413641116152,0.0,1.84,51.2617,73.86,23.772619329121017,21.144236773271246,1.8803869451815443,1.7263316639055997,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN,No
CF,CF Industries Holdings Inc,Materials,3.6496187401606335,0.0,3.0395136,-1.2,25.04,43.98,22.94345868967564,20.382182989173984,1.387404944194147,1.3376291891386096,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF,Yes
SCHW,Charles Schwab Corporation,Financials,3.910021002757473,3.42816382989197,0.76878726,1.61,37.16,56.25,24.96818596508508,0.0,2.19161051460174,1.706564623164823,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW,Yes
CHTR,Charter Communications,Consumer Discretionary,5.856932654149876,5.0993785039306445,0.0,34.08,308.3,408.83,25.1858221158825,23.41070508421255,1.1381096943077251,1.184789984909162,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR,No
CHK,Chesapeake Energy,Energy,1.3402504226184837,1.7404661748405046,0.0,-6.44,2.8,6.59,21.68876650087513,21.10852823841733,0.34192295443163645,1.0438040521731147,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK,No
CVX,Chevron Corp.,Energy,4.730039168033961,3.3506055955460954,3.885853,4.85,102.55,133.88,26.112240850487872,24.086311267493617,0.9741770385136297,0.9969486348916096,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX,Yes
CMG,Chipotle Mexican Grill,Consumer Discretionary,5.587286110882417,3.8471644330796497,0.0,0.8,263.0,499.0,22.762573164588055,19.81020239426771,1.267619293346133,1.9615022438151495,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG,No
CB,Chubb Limited,Financials,4.951522029603749,2.917770732084279,1.9251627,8.2,130.17,157.5,24.948999277349323,0.0,1.1309386815433835,0.8544153281560676,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB,Yes
